input_sentence,output_sentence,vectorial_distance
The writer writes peacefully amazing structures because in the morning and in the city under,The author calmly writes amazing buildings because in the morning and in the city below,0.11025113
A dog runs peacefully new technologies while without stopping when in the city every day,A dog calmly masters new technologies without stopping when he is in the city every day,0.16998595
The writer runs peacefully important lessons and under the stars although with great care with,"The author conveys important lessons calmly and under the stars, albeit with the utmost caution",0.23899746
A child explores creatively sweet music as with friends and without stopping and in the,A child creatively explores soft music like with friends and without stopping and within,0.06928325
The teacher jumps energetically in the garden when near the ocean because with friends with,The teacher jumps vigorously in the garden when he is near the ocean because with friends with,0.048110604
My friend jumps enthusiastically important lessons because every day when in the city with friends,My friend enthusiastically skips important lessons because every day when he goes out on the town with friends,0.17468607
The writer writes peacefully hidden treasures while in the morning while with friends every day,The author calmly writes hidden treasures in the morning while with friends every day,0.07266796
The engineer thinks creatively through the forest and in the city because every day in,"The engineer thinks creatively through the forest and the city, because every day",0.012324929
The teacher runs diligently through the forest although without stopping although with friends with great,"The teacher runs diligently in the forest, but without stopping, although with very talented friends.",0.0535329
The engineer creates peacefully in the garden while with friends when with great care in,"The engineer creates peacefully in the garden, among friends and very carefully.",0.060893416
The writer writes passionately hidden treasures because around the world when without stopping for hours,The author passionately writes about hidden treasures as he travels around the world without stopping for hours,0.09861219
A child discovers thoughtfully new technologies and near the ocean and for hours around the,A child thoughtfully discovers new technologies and near the ocean and for hours around,0.0024816394
The writer discovers passionately through the forest when under the stars because in the morning,The writer passionately discovers through the forest under the stars that in the morning,0.023903549
The cat runs quickly beautiful art while with friends because with great care under the,The cat quickly runs beautiful art between friends that very carefully ass,0.14999688
The writer discovers enthusiastically new technologies although every day while in the city under the,"The writer discovers new technologies with enthusiasm, even if every day, when he is in the city under the",0.0834142
The teacher thinks joyfully about life as without stopping while near the ocean under the,The teacher happily thinks about life as without stopping at the ocean under the ocean,0.061904788
A child jumps energetically amazing structures as every day while for hours as under the,A child jumps off energetically amazing structures like every day for hours like under the,0.026655376
The cat runs passionately in the garden as without stopping as around the world with,The cat runs passionately in the garden as if without stopping like everywhere in the world with,0.024348497
The artist discovers passionately in the garden when in the city although around the world,The artist discovers with passion in the garden than in the city but all over the world,0.07222384
The scientist thinks diligently sweet music while in the morning while in the city in,The scientist thinks diligently about soft music in the morning while he is in the city,0.08747256
The artist jumps creatively amazing structures when around the world when near the ocean without,"The artist creatively jumps on incredible structures as he circles the world, by the ocean, without",0.09243029
The cat explores thoughtfully hidden treasures because in the morning and in the city with,The cat carefully investigates hidden treasures because in the morning and in the city with,0.0483315
The scientist teaches diligently hidden treasures when under the stars and near the ocean without,The scientist teaches about the treasures carefully hidden under the stars and near the ocean outside,0.039828777
The writer thinks energetically hidden treasures as with friends because with friends because with friends,The writer thinks about hidden treasures energetically like with friends because with friends because with friends,0.016876698
The artist writes joyfully amazing structures because with great care because under the stars in,The artist happily writes amazing structures because very carefully because under the stars b,0.13134843
The writer jumps carefully about life while in the morning when under the stars under,"The writer carefully jumps into life in the morning, under the stars, below",0.05950284
The writer explores enthusiastically new technologies while without stopping while in the morning every day,The writer enthusiastically researches new technologies without stopping in the morning every day,0.05731201
The artist creates joyfully in the garden when near the ocean and for hours near,The artist happily creates in the garden next to the ocean and for hours nearby.,0.05281669
The artist thinks thoughtfully new technologies although in the city when in the morning with,"The artist thinks thoughtfully about new technologies, although in the city in the morning with",0.009414136
The cat creates carefully beautiful art while around the world although every day with great,"The cat creates carefully and beautifully works of art all over the world, although every day with a lot",0.0626173
The teacher builds energetically hidden treasures while in the morning although with great care near,"In the morning, the teacher builds hidden treasures energetically, but very carefully nearby.",0.06181085
A child runs thoughtfully in the garden although under the stars as for hours for,"A child runs thoughtfully in the garden, albeit under the stars for hours.",0.021525085
The engineer jumps creatively sweet music while in the morning although around the world around,An engineer jumps creatively to gentle music in the morning while traveling the world,0.09028649
The writer teaches energetically important lessons because without stopping while with great care with great,The author teaches important lessons energetically because without stopping very carefully and in a big way,0.119666696
The musician runs enthusiastically beautiful art although without stopping although with great care with great,"The musician enthusiastically beats on beautiful art, though without a break, though very carefully and grandly",0.20052159
The musician jumps quickly in the garden when with friends although with great care every,"The musician quickly jumps into the garden when he is with friends, but very carefully each time.",0.09451604
The musician runs diligently through the forest when for hours as for hours near the,The musician runs diligently in the forest for hours as for hours near,0.020387352
The artist plays thoughtfully through the forest and every day as in the city in,The artist plays thoughtfully in the forest and every day as in the city,0.010701656
The musician explores peacefully important lessons although under the stars while with friends for hours,"The musician calmly explores important lessons, even if under the stars, with friends for hours.",0.09681332
The artist builds diligently hidden treasures although for hours while in the city in the,"The artist builds carefully hidden treasures, albeit for hours in the city,",0.036353767
The musician thinks diligently important lessons although in the morning and with friends near the,"The musician diligently thinks about important lessons, even if in the morning and with friends nearby",0.06079173
The artist writes diligently in the garden as for hours when in the city for,The artist writes as diligently in the garden as for hours when he is in the city,0.023982823
The artist plays carefully in the garden as in the morning as near the ocean,The artist plays carefully in the garden as in the morning as by the ocean,0.015935063
The engineer jumps joyfully amazing structures as every day and for hours because near the,The engineer happily jumps amazing buildings like every day and for hours because close to,0.11017048
The teacher explores diligently beautiful art as with friends while with friends while around the,"The teacher diligently studies the glorious art as with friends, while with friends, b",0.16252738
A child writes quickly amazing structures because around the world when without stopping in the,A child quickly writes amazing structures that are all over the world without stopping,0.040499568
A dog plays carefully sweet music as in the city as every day for hours,A dog carefully plays soft music like in the city like every day for hours,0.04599321
The musician teaches energetically wonderful stories although under the stars when with friends with friends,"The musician teaches wonderful stories with energy, although under the stars when among friends.",0.06294006
The writer discovers energetically new technologies while in the morning when for hours with great,The writer vigorously discovers new technologies in the morning for hours with a lot,0.09075773
The scientist discovers quickly hidden treasures and around the world as with great care under,The scientist quickly discovers hidden treasures and around the world as with great care,0.010519743
The writer thinks carefully hidden treasures when in the morning and with great care in,The writer thinks very carefully in the morning about the carefully hidden treasures,0.06079942
The scientist plays joyfully beautiful art while near the ocean and around the world every,The scientist happily plays beautiful art by the ocean and all over the world everywhere,0.058974862
A dog writes energetically through the forest although every day while with great care in,"A dog writes energetically in the forest, although every day and very carefully",0.044310212
The cat teaches thoughtfully beautiful art while with great care and under the stars near,"The cat teaches thoughtful and beautiful art, very carefully and under the stars.",0.055603087
A child discovers diligently in the garden as in the morning because around the world,A child diligently discovers in the garden as in the morning that the world is around,0.031099975
The musician creates creatively about life although with great care although in the city every,"The musician creates creatively about life, but very carefully, even if in the city at all",0.10179436
